name_old,name_new,diet_old,diet_new,period_yearsago,period,years_ago,millions_years,lived_in,latitude,longitude,type_old,type_new,length,taxonomy,named_by,species_old,species_new,link
barosaurus,Barosaurus,herbivorous,Herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,USA,37.0902,-95.7129,sauropod,Sauropod,24.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Marsh (1890),lentus,Lentus,https://www.nhm.ac.uk/discover/dino-directory/barosaurus.html
mamenchisaurus,Mamenchisaurus,herbivorous,Herbivorous,Late Jurassic 155-145 million years ago,Late Jurassic ,155-145 million years ago,155,China,35.8617,104.1954,sauropod,Sauropod,22.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Young (1954),constructus,Constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html
torvosaurus,Torvosaurus,carnivorous,Carnivorous,Late Jurassic 155-144 million years ago,Late Jurassic ,155-144 million years ago,155,USA,37.0902,-95.7129,large theropod,Large Theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),tanneri,Tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html
dryosaurus,Dryosaurus,herbivorous,Herbivorous,Late Jurassic 155-140 million years ago,Late Jurassic ,155-140 million years ago,155,USA,37.0902,-95.7129,euornithopod,Euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Marsh (1894),altus,Altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html
brachiosaurus,Brachiosaurus,herbivorous,Herbivorous,Late Jurassic 155-140 million years ago,Late Jurassic ,155-140 million years ago,155,USA,37.0902,-95.7129,sauropod,Sauropod,30.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,Riggs (1903),altithorax,Altithorax,https://www.nhm.ac.uk/discover/dino-directory/brachiosaurus.html
juravenator,Juravenator,carnivorous,Carnivorous,Late Jurassic 154-151 million years ago,Late Jurassic ,154-151 million years ago,154,Germany,51.1657,10.4515,small theropod,Small Theropod,0.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Göhlich &amp; Chiappe (2006),starki,Starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html
europasaurus,Europasaurus,herbivorous,Herbivorous,Late Jurassic 154-151 million years ago,Late Jurassic ,154-151 million years ago,154,Germany,51.1657,10.4515,sauropod,Sauropod,6.2m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Sander Mateus Laven and Knötschke (2006),holgeri,Holgeri,https://www.nhm.ac.uk/discover/dino-directory/europasaurus.html
janenschia,Janenschia,herbivorous,Herbivorous,Late Jurassic 154-151 million years ago,Late Jurassic ,154-151 million years ago,154,Tanzania,6.369,34.8888,sauropod,Sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Wild (1991),robusta,Robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html
elaphrosaurus,Elaphrosaurus,carnivorous,Carnivorous,Late Jurassic 154-151 million years ago,Late Jurassic ,154-151 million years ago,154,Tanzania,6.369,34.8888,large theropod,Large Theropod,6.2m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Janensch (1920),bambergi,Bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html
dacentrurus,Dacentrurus,herbivorous,Herbivorous,Late Jurassic 154-150 million years ago,Late Jurassic ,154-150 million years ago,154,United Kingdom,55.3781,3.436,armoured dinosaur,Armoured Dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae,Lucas (1902),armatus,Armatus,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html
